,0
time,0.0
consumption,77.06224529678529
nominal_consumption,977.9498897363803
investment,45.91085312995895
nominal_investment,285.8655729381217
real_gdp,105.10374805945176
nominal_gdp,1173.5139401673453
capital,1519.597049781851
cfirm_productivity,0.052062694354655756
kfirm_productivity,0.13529200806275674
debt,2125.9996936510875
profits,277.7878853719928
cfirm_price_index,0.04623810880379525
kfirm_price_index,0.06153824935404906
cfirm_nhhi,6.821603788504808e-05
kfirm_nhhi,0.0033399117959701445
cfirm_hpi,0.0008816863982440985
kfirm_hpi,0.0043295675742822766
cfirm_bankruptcy,0.046081740263517454
kfirm_bankruptcy,0.006351960166687419
wages,887.6225597700326
avg_wage,0.43053537410466625
employment,1.7368447115651533
unemployment_rate,0.0008684223557825761
vacancy_ratio,0.00546985919907488
gini,0.00015904598491722175
bank_nhhi,0.009317745076631273
bank_hpi,0.0017566471882504494
avg_loan_interest,2.6017573118965502e-05
avg_reserve_ratio,0.0048818353472768194
avg_capital_ratio,1.615882932113361
money_supply,9986.03205725661
bank_bankruptcy,0.004899375220476627
bank_mean_degree,1.2066123159129263
cfirm_mean_degree,0.05928065133102762
kfirm_mean_degree,0.0216765687665229
real_gdp_growth,8.058283230371341e-05
inflation,7.427822233592641e-05
wage_inflation,6.633041539621325e-05
profit_share,0.0009408205140396579
wage_share,0.0008379333509356158
debt_ratio,0.006637278758405007
cfirm_bankruptcy_rate,0.00023040870131758732
kfirm_bankruptcy_rate,0.00012703920333374837
bank_bankruptcy_rate,0.0004899375220476628
